name,cover,url,intro,singer_id,song_id,song_cover,song_name
很美味,http://p1.music.126.net/jeowymQF-uUuQphXuxz8ZA==/109951165587974741.jpg?param=640y300,https://music.163.com/artist?id=12358435,2019.12.04 JYH,12358435,2129666437,http://p2.music.126.net/m40nvxXLMfbLEyB2mX8aHw==/109951169364490680.jpg?param=130y130,你在 不在
江辰,http://p1.music.126.net/2AGX_RoVyzZb7EU77Tk7BA==/109951169419736238.jpg?param=640y300,https://music.163.com/artist?id=12641765,"新浪微博：江辰-OnlyJ
音乐唱作人，制作人
经纪人vx：BUGglory",12641765,"2604907965,2163602178,2599870526","http://p1.music.126.net/yvj7-gsNuJtxVh4t2Gx9DQ==/109951169749393394.jpg?param=130y130,http://p2.music.126.net/wXrLfUSj4Jwd7jmayjSt_Q==/109951169657537249.jpg?param=130y130,http://p2.music.126.net/g4E6uOyx0wjJkwUB5eKdMQ==/109951169704079802.jpg?param=130y130","单循,love9 2.0,罪（feat.旺仔小乔）"
POREV,http://p1.music.126.net/G6bqqxAc_w9Jy2UB_oslXQ==/109951168599435963.jpg?param=640y300,https://music.163.com/artist?id=60953273,Music saves the world,60953273,"2604388340,2604470973","http://p2.music.126.net/e-jeAKc5QKq9wQHdKG6bNw==/109951169744753324.jpg?param=130y130,http://p1.music.126.net/euPNLyINxy785C8Drk7A1Q==/109951169443759846.jpg?param=130y130","Be My Lover,Friends"
马思唯,http://p2.music.126.net/5uEpiXogxWraUE42hxdQzQ==/109951168703751726.jpg?param=640y300,https://music.163.com/artist?id=1132392,"被纽约时报赞誉为“中国Hip-Hop界突破性明星说唱组合 - Higher Brothers” 的团队领袖，中国说唱代表人物之一 - 马思唯从21岁出道至今，已发布4张高水准个人Mixtape《P.E.I VOL.1》、《P.E.I VOL.2》、《P.E.I VOL.3》、《AFewGoodKids》，1张Higher Brothers Mixtape 《Higher Brothers》，2张团队正式专辑《Black Cab》、《Five Stars》，1张个人正式专辑《黑马王子》，并凭借“花花公子”，“Lover Boy 88”，“Made in China”, “WeChat” 等数首单曲屡次在全球范围掀起狂潮，全球试听超过2亿5千万次：从2017年与团队Higher Brothers发布首张正式专辑《Black Cab》开始，国内外巡演“座无虚席”；其中与KnowKnow合作的单曲“Lover Boy 88” 更是成为现象级夏日恋爱金曲；再到《Five Stars》专辑中与优秀Hip-hop音乐人们的合作包括Schoolboy Q，Denzel Curry，Soulja Boy，J.I.D等；2019年与Snoop Dogg合作发布单曲“Friends and Foes”，成为首个与欧美rapper共同为美剧打造主题曲的中国rapper；2020年发布大热专辑《黑马王子》，马思唯用一个又一个的作品向世人展示真正Made In China的顶级Hip-hop音乐，更是帮助Higher Brothers一举摘得网易云2018年度最佳说唱团体。2020年夏天首次以导师身份与黄子韬，Rich Brian, KnowKnow, 李宇春，MC Hotdog同台加入bilibili首档S+级综艺《说唱新世代》。并于2020年年末登上《时尚先生fine》杂志封面，作为封面人物之一出席时尚先生第17届MAHB年度盛典，荣获年度榜Young(音乐)奖项。
马思唯以音乐为马，和Higher Brothers作为中国说唱几乎唯一向西方乐坛输出的代表，走遍了全世界的各个角落。2021年带着第二张个人专辑《黑马》强势回归的马思唯，还将为我们带来哪些惊喜，让我们共同拭目以待。",1132392,"1960619633,2605914862","http://p2.music.126.net/Z2qKcAdS0eAYrJuJMwa3VA==/109951167611690026.jpg?param=130y130,http://p2.music.126.net/hZg7evJtJHPgrwgbsm96TA==/109951169761160869.jpg?param=130y130","Coco Elva Tia,热湾漂移 Hit the gas (《极品飞车：集结》公测主题曲)"
怪阿姨,http://p2.music.126.net/_kCYZg1o1dGOy7k53B8OAQ==/109951169707900967.jpg?param=640y300,https://music.163.com/artist?id=51020749,时间从来不语，但它却回答了所有,51020749,2100671888,http://p1.music.126.net/DExbvZmdxppRZkHNKCESag==/109951169061213913.jpg?param=130y130,放纵
暗杠,http://p2.music.126.net/sPWI-9J7wwhEiBPZVXnPBQ==/109951162853435698.jpg?param=640y300,https://music.163.com/artist?id=1198010,"暗杠，音乐人，唱作人。自2013年起先后发布《 友爱 》 、 《 唱谣 》 、 《 一念 》 、《小样儿》、《寥寥》、《太阳》、《小样儿贰》共7张原创独立专辑。
代表作：《童话镇》、《走歌人》、《说书人》、《阿婆说》等
2016年开启“走歌人”系列全国巡演，至今已开展到第6年。 新浪微博：暗杠小发
微信公众号：暗杠",1198010,"413829859,1422931582","http://p2.music.126.net/xmYUW7yYS02Tc0McsGdKWA==/18345351510075909.jpg?param=130y130,http://p2.music.126.net/ebtsSOX0XVOO0PURE1tysA==/109951164713445979.jpg?param=130y130","童话镇,酒馆"
探长,http://p1.music.126.net/3j1es_uWUceUr7C22mL62g==/109951169700657151.jpg?param=640y300,https://music.163.com/artist?id=59922234,毕业于四川音乐学院 四川成都人 代表作《刹那》《老子蜀道山》作词 作曲 编曲 录音师 歌手 制作人 就算是队长村长看见我也得叫一声探长,59922234,2601212283,http://p1.music.126.net/6ZLf8dhmbkI0DlHNh9tgjw==/109951169712885581.jpg?param=130y130,坏杀手
张叶蕾,http://p1.music.126.net/XkiM2BZ75QvBt44Jk3y6-g==/109951163520866955.jpg?param=640y300,https://music.163.com/artist?id=12213291,"独立唱作人，网友戏称诺克萨斯公主（系《还是劈开》）。
代表作《还是分开》，《银河飞车》等，播放量全网超40亿。2023年发表创作新专《梦里什么都有》，没啥人听，翻唱倒蛮火…
简单，真诚，持续成事。",12213291,"2602690075,465921195","http://p1.music.126.net/Sg5u0LObHyE6vXX9dyAKAQ==/109951169727063467.jpg?param=130y130,http://p2.music.126.net/tH5FdakJX47uy8mlM0GMWQ==/19218363741925314.jpg?param=130y130","榜首,还是分开"
SipSu小口酥,http://p1.music.126.net/PhF1Ho_svzP4XxDUj97Tgg==/109951166504768056.jpg?param=640y300,https://music.163.com/artist?id=31058553,商务合作v：supersipsu（备注来意）,31058553,2605003751,http://p2.music.126.net/hTSzPeicyISXLzG7af5QMQ==/109951169750284132.jpg?param=130y130,偷感
Ron,http://p2.music.126.net/D9ujQjLuvmLJ33_rbFq_Yg==/109951169750457320.jpg?param=640y300,https://music.163.com/artist?id=47197216,123456789000,47197216,"2605177204,2149612361","http://p2.music.126.net/78AhS9jj7KEp4JhXLm1ifQ==/109951169752362752.jpg?param=130y130,http://p1.music.126.net/mcdIym8Nw5U9_V16Tzkx7Q==/109951169532093914.jpg?param=130y130","回忆总是慢动作,爱你"
LABACK,http://p2.music.126.net/nTlHl5uW5PB_SGGkjZpe6Q==/109951167872931813.jpg?param=640y300,https://music.163.com/artist?id=50428430,暂无简介,50428430,2600120198,http://p1.music.126.net/c3DlJEli1cJbnBXJMAcFjg==/109951169709426792.jpg?param=130y130,Titanic x My Heart Will Go On (Summer Version)
World Wide Songs,http://p1.music.126.net/6y-UleORITEDbvrOLV0Q8A==/5639395138885805.jpg?param=640y300,https://music.163.com/artist?id=58577281,"World Wide Songs，欧美歌手,发布有云音乐热门歌曲《Tek It (Sped up)》收录于专辑《World Wide Songs Sped Up Collection 16 (Sped up)》中。",58577281,2085977468,http://p2.music.126.net/sDA0XHUmO4_h_Tm-VMwIqQ==/109951168945977823.jpg?param=130y130,Tek It (Sped up)
制造热搜,http://p1.music.126.net/Ut9IfhmKb9pe1EXmjfSmWw==/109951165418426261.jpg?param=640y300,https://music.163.com/artist?id=37255369,匠心音乐旗下说唱厂牌，感谢收听~,37255369,"1492023926,2163953992","http://p2.music.126.net/Os2563_tbNGczFX48rxLag==/109951169660529805.jpg?param=130y130,http://p1.music.126.net/Os2563_tbNGczFX48rxLag==/109951169660529805.jpg?param=130y130","是想你的声音啊（说唱版）,是想你的声音啊2024"
Hayden James,http://p2.music.126.net/An5ZEbeMQlgS_ikChh9dFw==/2946691178590335.jpg?param=640y300,https://music.163.com/artist?id=787102,澳大利亚舞曲音乐人 Hayden James,787102,1397248051,http://p2.music.126.net/cy9053J3FGAd9oK6ssZyUg==/109951164430291856.jpg?param=130y130,Just Friends
