name,singer,cover,url,lyric,singer_id,song_id
你在 不在,很美味,http://p2.music.126.net/m40nvxXLMfbLEyB2mX8aHw==/109951169364490680.jpg?param=130y130,https://music.163.com/song?id=2129666437,"云碎成雨点等你的抱歉
却等到你的不告而别
星光像泪水没说的思念变成黑眼圈
几百天来的热烈一个寒流就瓦解
再厚的爱只是一叠纸片
你在房间像幻灯片
你在我眼里蔓延
你在手机你在笔电无法隔绝
你在深夜像黑咖啡
你在我心里面陪我失眠
可是却不在我身边
感冒整个月心里的疲倦
比发烧晕眩比头痛烈
我不爱争辩脑海却默默决定一切
几百天来的热烈一个寒流就瓦解
再厚的爱只是一叠纸片
你在房间像幻灯片你在我眼里蔓延
你在手机你在笔电无法隔绝
你在深夜像黑咖啡
你在我心里面陪我失眠
可是却不在我的身边
我换沙发换窗帘却换不掉你
固执的气味
你在房间像幻灯片你在我眼里蔓延
你在手机你在笔电无法隔绝
你在深夜像黑咖啡
你在我心里面陪我失眠
可是却不在我身边",12358435,2129666437
单循,江辰,http://p1.music.126.net/yvj7-gsNuJtxVh4t2Gx9DQ==/109951169749393394.jpg?param=130y130,https://music.163.com/song?id=2604907965,"而你就像一阵风来的不知不觉
断线的画面为我奉献灵感书写
你给的幻觉强烈像暴风雪白茫茫遮盖我眼
你删了那张合照划清界限
熟悉的网易云也换了新界面
我还在单曲循环你爱听的天天
可最熟悉的感觉越听越变
你账号里的歌单是我音乐链
总掉进回忆里面是我新缺陷
我没法控制自己没有办法不去想你
快破碎的心也到了临界点
脑海里面都是你的声音世界怎么还是你为中心
生活到处都有你的痕迹重复不断牵动每个神经
想念你的温柔你的无理幻想还能感受你的呼吸
可我早就丢了拥有权利把我困在不知名的回忆逃不出去
而你就像一阵风来的不知不觉
断线的画面为我奉献灵感书写
你给的幻觉强烈像暴风雪白茫茫遮盖我眼
你是我单曲循环的一张唱片
也是我永远画不完的一个半圆
一万零三遍循环同一张脸要怎么两不相欠
你照片还挂在我歌单上的封面
偶尔会看一眼给我的生活充电
断掉的火花把整个世界冷却
我恨自己恨你怎么轻易被你攻陷
原来期待的冬天会是我们的终点
我以为克服远距离就再也没有风险
每一次失声哽咽每个难熬的整夜
我忘不掉的那些却能被你随意省略
重复的片段在大脑不断裂变
循环的歌单还有打不开的页面
我像个罪犯窥探着你的一切
被屏蔽了的账号成了越不过的界限
想你的血液在身体里面活跃
不停的运转不停把记忆罗列
将我的心给裹挟不断要求我妥协
刻进我的灵魂永远没有办法磨灭
而你就像一阵风来的不知不觉
断线的画面为我奉献灵感书写
你给的幻觉强烈像暴风雪白茫茫遮盖我眼
你是我单曲循环的一张唱片
也是我永远画不完的一个半圆
一万零三遍循环同一张脸要怎么两不相欠",12641765,2604907965
Be My Lover,POREV,http://p2.music.126.net/e-jeAKc5QKq9wQHdKG6bNw==/109951169744753324.jpg?param=130y130,https://music.163.com/song?id=2604388340,暂时无歌词,60953273,2604388340
Coco Elva Tia,马思唯,http://p2.music.126.net/Z2qKcAdS0eAYrJuJMwa3VA==/109951167611690026.jpg?param=130y130,https://music.163.com/song?id=1960619633,"我是个说唱歌手但具备R&B vibe
She is My Mariah Carey是个R&B type
我们把Rhyme and Blues拆开来解读
Yo DJ 能不能不要结束

她是我的CoCo Elva Tia
做我的CoCo Elva Tia
她是我的CoCo Elva Tia
做我的CoCo Elva Tia

R&B 又代表 you and me
我会的很多 不只给你家里修电器
我们是俩张唱片把他交给 DJ
让他来mix it 变成张Mixtape

放下唱针我打开灵感的阀门
你想去巴黎我现在开始学法文
怎样的话题才能把印象再加深
要赶在夏季让浪漫的事快发生

荷尔蒙冲动伴随点亢奋
毕竟成年人我也不能太放任
我对着镜子自我介绍像在演相声
出门前洗个冷水澡给自己先降温

牛仔裤该穿宽的还是瘦的？新的还是旧的？
穿新的显得刻意旧的又太皱了
想穿皮衣好吗？又觉得太厚了
Oh够了 我什么时候变这么讲究了？

就还是白T喷点古龙
越普通反而会显的气质越不普通
我到达约定地点看你第一眼
假装很淡定心却早就扑通扑通

我是个说唱歌手但具备R&B vibe
She is My Mariah Carey是个R&B type
我们把Rhyme and Blues拆开来解读
Yo DJ 能不能不要结束

她是我的CoCo Elva Tia
做我的CoCo Elva Tia
她是我的CoCo Elva Tia
做我的CoCo Elva Tia

巧了你也穿了白色入镜
这就叫宿命 也叫命中注定
这附近肯定有丘比特在促进
用带着心的弓箭把我们牢牢固定

我说去喝一个 你说你酒精过敏
那进去坐一坐 聊一聊星座个性
我是个男子汉 不会跟你玩家家酒
不信拉拉勾 面对你我变身哈巴狗

我问你听什么 你说蓝调带点忧郁
那下次忧郁的时候记得call me
你像冰冷的蓝色 像大海一样难测
就让我传热给你吧 can you feel me ？

我喜欢Hip hop 戴New Era
哪里有party我都装了雷达
在我玩的行业里我是匹黑马
他们拿我没法 不爽只能退下

就让我带给你节奏 让我带给你flow
孤独的布鲁士 请批准我带着你走
周围空气太闷 我带你去爱的绿洲
“恋爱的犀牛 ”在忙着把你占为己有girl let‘s roll

我是个说唱歌手但具备R&B vibe
She is My Mariah Carey是个R&B type
我们把Rhyme and Blues拆开来解读
Yo DJ 能不能不要结束

她是我的CoCo Elva Tia
做我的CoCo Elva Tia
她是我的CoCo Elva Tia
做我的CoCo Elva Tia

",1132392,1960619633
放纵,怪阿姨,http://p1.music.126.net/DExbvZmdxppRZkHNKCESag==/109951169061213913.jpg?param=130y130,https://music.163.com/song?id=2100671888,"看着我的眼睛 
为什么 不敢看我 
对你爱的入迷 
你犯了错 我从来都不说 
哪怕别人都说是过错 
我依然 深爱着你 
没想到 这份真心 
被践踏的 是我 
你已 离我而去 
为什么 别说是因果 
我也开始猜疑 
这么爱你 连她都没赢过 
现在自己也陷入了困惑 
原来你都是在骗我 
我只能 看着自己 
被你伤得 彻底 
是我太过放纵你 
也只能怠慢了自己 
我一次一次的 想
我有多么爱你 
我不忍心怪你 
宁愿自己 折磨自己 
也许是 别人不明白的 神经 
你已 离我而去 
为什么 别说是因果 
我也开始猜疑 
这么爱你 连她都没赢过 
现在自己也陷入了困惑 
原来你都是在骗我 
我只能 看着自己 
被你伤得 彻底 
是我太过放纵你 
也只能怠慢了自己 
我一次 一次的 想
我有多么爱你 
我不忍心怪你 
宁愿自己 折磨自己 
也许是 别人不明白的 神经 ",51020749,2100671888
童话镇,暗杠,http://p2.music.126.net/xmYUW7yYS02Tc0McsGdKWA==/18345351510075909.jpg?param=130y130,https://music.163.com/song?id=413829859,"[by:仰星观月]
编曲：暗杠
器乐演奏：暗杠
和声编配：暗杠
录音混音：暗杠

听说白雪公主在逃跑
小红帽在担心大灰狼
听说疯帽喜欢爱丽丝
丑小鸭会变成白天鹅
听说彼得潘总长不大
杰克他有竖琴和魔法
听说森林里有糖果屋
灰姑娘丢了心爱的玻璃鞋
只有睿智的河水知道
白雪是因为贪玩跑出了城堡
小红帽有件压抑自己
变成狼的大红袍
总有一条蜿蜒在童话镇里七彩的河
沾染魔法的乖张气息
却又在爱里曲折
川流不息扬起水花
又卷入一帘时光入水
让所有很久很久以前
都走到幸福结局的时刻
music....
听说睡美人被埋葬
小人鱼在眺望金殿堂
听说阿波罗变成金乌
草原有奔跑的剑齿虎
听说匹诺曹总说着谎
侏儒怪拥有宝石满箱
听说悬崖有棵长生树
红鞋子不知疲倦地在跳舞
只有睿智的河水知道
睡美人逃避了生活的煎熬
小人鱼把阳光抹成眼影
投入泡沫的怀抱
总有一条蜿蜒在童话镇里七彩的河
沾染魔法的乖张气息
却又在爱里曲折
川流不息扬起水花
又卷入一帘时光入水
让所有很久很久以前
都走到幸福结局的时刻
总有一条蜿蜒在童话镇里梦幻的河
分隔了理想分隔现实
又在前方的山口汇合
川流不息扬起水花
又卷入一帘时光入水
让所有很久很久以前
都走到幸福结局 的时刻
又陌生 啊~~啊~~啊~~
呜~~呜~~呜~~呜~~
啊~~啊~~啊~~啊~~
呜~~呜~~呜~~呜~~
啊~~啊~~啊~~啊~~
呜~~呜~~呜~~呜~~",1198010,413829859
坏杀手,探长,http://p1.music.126.net/6ZLf8dhmbkI0DlHNh9tgjw==/109951169712885581.jpg?param=130y130,https://music.163.com/song?id=2601212283,"词：姜洄/李津津
曲：谢宇伦/鹿柯的宁叔
制作人：谢宇伦
编曲：鄂汇丰
混音：林亦
和声：钟游文
制作统筹：阿鸟
出品：网易子弹
联合出品：山外山音乐
狭窄房间时间滞留在原地
回忆清晰太多亲密的痕迹
只是不习惯没有不甘心
 oh
你是天上的恒星
隔着遥远的距离
那一吻像在梦境
我不舍得清醒
说唱：
你站在聚光灯的舞台
像那盛开的花
我躲在某个阴暗角落
像烂掉的泥巴
你的眼你的发
忘不掉就算了吧
如果再来一次我还会拼命爱你啊
 oh
也许他能够给你想要的
像骑士在公主身边守护着
我知道你也不舍
可是啊宝贝这是对的选择
挽留你我没理由没资格
亲爱的你是最坏的杀手
说再见又痛又温柔
杀死我心动的自由
让这回忆成牢笼
我站在人海之中
却再也找不到相逢的理由
亲爱的你是最痛的伤口
结痂后血依然在流
如果他给予的是你不曾拥有
我也会谈笑着退后
说唱：
你站在聚光灯的舞台
像那盛开的花
我躲在某个阴暗角落
像烂掉的泥巴
你的眼你的发
忘不掉就算了吧
如果再来一次我还会拼命爱你啊
 oh
也许他能够给你想要的
像骑士在公主身边守护着
我知道你也不舍
可是啊宝贝这是对的选择
挽留你我没理由没资格
亲爱的你是最坏的杀手
说再见又痛又温柔
杀死我心动的自由
让这回忆成牢笼
我站在人海之中
却再也找不到相逢的理由
亲爱的你是最痛的伤口
结痂后血依然在流
如果他给予的是你不曾拥有
我也会谈笑着退后
亲爱的你是最坏的杀手
说再见又痛又温柔
杀死我心动的自由
让这回忆成牢笼
我站在人海之中
却再也找不到相逢的理由
亲爱的你是最痛的伤口
结痂后血依然在流
如果他给予的是你不曾拥有
我也会谈笑着退后",59922234,2601212283
榜首,张叶蕾,http://p1.music.126.net/Sg5u0LObHyE6vXX9dyAKAQ==/109951169727063467.jpg?param=130y130,https://music.163.com/song?id=2602690075,"夜晚浓得把眼神胶着
暧昧薄得一碰就会破
相互袒露心事要比朋友多的多
她凭空出现却成了胜出者
我曾触手可得你却让心空着
等待那人剥掉硬壳
放任爱榜单萧索
从未考虑写上我
难道是我的陪伴不够久
才让后来者跃居成榜首
云低下了头为风而停留
吹散成雾消失无人拼凑
我知道美梦不宜做太久
可清醒之后还继续梦游
步调错乱的人最容易跟丢
若你嫌回忆腐朽我独自占有
我曾触手可得你却让心空着
等待那人剥掉硬壳
放任爱榜单萧索
从未考虑写上我
难道是我的陪伴不够久
才让后来者跃居成榜首
云低下了头为风而停留
吹散成雾消失无人拼凑
我知道美梦不宜做太久
可清醒之后还继续梦游
步调错乱的人最容易跟丢
若你嫌回忆腐朽我独自占有
难道是我的陪伴不够久
才让后来者跃居成榜首
云低下了头为风而停留
吹散成雾消失无人拼凑
我知道美梦不宜做太久
可清醒之后还继续梦游
步调错乱的人最容易跟丢
若你嫌回忆腐朽我独自占有",12213291,2602690075
偷感,SipSu小口酥,http://p2.music.126.net/hTSzPeicyISXLzG7af5QMQ==/109951169750284132.jpg?param=130y130,https://music.163.com/song?id=2605003751,"作词： SipSu小口酥
作曲： SipSu小口酥
编曲： Zy
混音：裴济逸
无数个想要和你分享的瞬间我都选择发了朋友圈
被贴上“偷感”的标签在偷偷关注你的第六年
不敢捅破你和我至少还能停留在朋友间
我想离你的心更近一点所以站在你左手边
我的勇气还没出发看到你我就返航
我对你的暗恋他们现在称之为偷感强
无法控制我的情绪
每当我失眠在深夜里
明明爱你爱得热烈
可每次当我看见你
我就总是会说不出来话
我的付出只敢偷偷的
跟你对视会紧张害怕
这种感觉我真的受够了
我也想要大方落落的
我也想要不再懦弱了
我也想要被你看出我心思
我是又不想被你戳破的
有人释怀有人在风里等候
我不想我们之间只是做朋友
和你的每次相遇
擦肩而过
都是我蓄谋已久
我可以偷偷得陪你很久很久
可我们之间连回忆都没有
请允许我自作多情
我想也许这样就已足够
这段关系是否差了点火候
给我的心安上了锁扣
你不在我的身边
我的心思却能够被你给左右
这种感觉到底如何形容我们的博弈对峙
但是只要你回头看我一眼我们就一定能对视
我经常会在你可能路过的街道那些地方出现
有时候我担心可能会太明显又怕你会看不见
我尽量不露出破绽
尽量不在你的美里沉溺
暗恋像是一次次的作案
清理现场不留下痕迹
也许我该注意我的分寸
不要再去越界
 infp内向一直都存在我的血液
但为了你我学着勇敢学着把自己更正
我不想以后吃醋都不懂该是什么身份
有人释怀有人在风里等候
我不想我们之间只是做朋友
和你的每次相遇
擦肩而过
都是我蓄谋已久
我可以偷偷的陪你很久很久
可我们之间连回忆都没有
请允许我自作多情
我想也许这样就已足够",31058553,2605003751
回忆总是慢动作,Ron,http://p2.music.126.net/78AhS9jj7KEp4JhXLm1ifQ==/109951169752362752.jpg?param=130y130,https://music.163.com/song?id=2605177204,暂时无歌词,47197216,2605177204
